ename,norm,normargu,valuefrom,modifier,name,style
decision,none,NA,value,choice_logical,valueDecisionAligned,multiply
decision,none,NA,value.diff,choice_logical,valueDecisionAligned_diff,multiply
decision,none,NA,value.chosen,choice_logical,valueDecisionAligned_chosen,multiply
decision,none,NA,value.chosen.diff,choice_logical,valueDecisionAligned_chosen_diff,multiply
decision,none,NA,value.chosen.diff.standardized,choice_logical,valueDecisionAligned_chosen_diff_standardized,multiply
decision,none,NA,value.chosen.diff.sigmoid,choice_logical,valueDecisionAligned_chosen_diff_sigmoid,multiply
decision,none,NA,stake,choice_logical,stakeDecisionAligned,multiply
decision,none,NA,stake.mc,choice_logical,stakeDecisionAligned_MC,multiply
decision,none,NA,nullres,NA,missResponse,multiply
decision,none,NA,motor.left,choice_logical,Motor_left,multiply
decision,none,NA,motor.right,choice_logical,Motor_right,multiply
feedback,none,NA,PEunsigned,feedback_logical,unsignedPEs,multiply
feedback,none,NA,PEsigned,feedback_logical,signedPEs,multiply
feedback,none,NA,PEchosen.pos,feedback_logical,chosenPosPEs,multiply
feedback,none,NA,PEchosen.neg,feedback_logical,chosenNegPEs,multiply
feedback,none,NA,PEchosen,feedback_logical,chosenPEs,multiply
feedback,none,NA,PEplus,feedback_logical,posPEs,multiply
feedback,none,NA,PEminus,feedback_logical,negPEs,multiply
feedback,none,NA,value,feedback_logical,valueFeedbackAligned,multiply
feedback,none,NA,value.diff,feedback_logical,valueFeedbackAligned_diff,multiply
feedback,none,NA,value.chosen,feedback_logical,valueFeedbackAligned_chosen,multiply
feedback,none,NA,vtplus1.chosen.diff,feedback_logical,valuePlus1DiffFeedbackAligned_chosen,multiply
feedback,evtmax_1,NA,vtplus1.chosen.diff,feedback_logical,valuePlus1DiffFeedbackAligned_chosen_evtmax,multiply
feedback,none,NA,vtplus1.max,feedback_logical,valuePlus1DiffFeedbackAligned_max,multiply
feedback,none,NA,stake,feedback_logical,stakeFeedbackAligned,multiply
feedback,none,NA,reward.stake,feedback_logical,rewardMagnitudeFeedbackAligned,multiply
feedback,none,NA,reward.stake.mc,feedback_logical,rewardMagnitudeFeedbackAligned_MC,multiply
feedback,none,NA,myst.trials,NA,myst_trials,multiply
feedback,none,NA,comp.trials,NA,computer_trials,multiply
decision,none,NA,choice.num,NA,choice.num,multiply
feedback,none,NA,feedback.num,NA,feedback.num,multiply